""	"Time"	"Flow_S5"	"Flow_S6"	"Mean_CH4_S5"	"Mean_CO2_S5"	"Mean_N2O_S5"	"Mean_NH3_S5"	"Mean_CH4_S6"	"Mean_CO2_S6"	"Mean_N2O_S6"	"Mean_NH3_S6"
"1"	1651496348.26566	0	0	NA	NA	NA	NA	0	0	0	0
"2"	1651498746.81203	0	0	0	0	0	0	0	0	0	0
"3"	1651501144.95614	0	0	0	0	0	0	0	0	0	0
"4"	1651503545.21303	0	0	0	0	0	0	0	0	0	0
"5"	1651505943.99875	0	0	0	0	0	0	0	0	0	0
"6"	1651508344.73935	0	0	0	0	0	0	0	0	0	0
"7"	1651510743.7406	0	0	0	0	0	0	0	0	0	0
"8"	1651513143.14035	0	0	0	0	0	0	0	0	0	0
"9"	1651515541.85338	0	0	0	0	0	0	0	0	0	0
"10"	1651517940.3584	0	0	0	0	0	0	0	0	0	0
"11"	1651520340.30702	0	0	0	0	0	0	0	0	0	0
"12"	1651522740.4599	0	0	0	0	0	0	0	0	0	0
"13"	1651525139.2782	0	0	0	0	0	0	0	0	0	0
"14"	1651527538.62281	0	0	0	0	0	0	0	0	0	0
"15"	1651529936.96491	0	0	0	0	0	0	0	0	0	0
"16"	1651532337.72431	0	0	0	0	0	0	0	0	0	0
"17"	1651534736.07143	0	0	0	0	0	0	0	0	0	0
"18"	1651537135.4812	0	0	0	0	0	0	0	0	0	0
"19"	1651552791.96617	0	0	0	0	0	0	0	0	0	0
"20"	1651568450.06266	0	0	0	0	0	0	0	0	0	0
"21"	1651570848.01504	0	0	0	0	0	0	0	0	0	0
"22"	1651573246.88471	0	0	0	0	0	0	0	0	0	0
"23"	1651575647.66165	0	0	0	0	0	0	0	0	0	0
"24"	1651578047.32456	0	0	0	0	0	0	0	0	0	0
"25"	1651580446.58271	0	0	0	0	0	0	0	0	0	0
"26"	1651582845.7406	0	0	0	0	0	0	0	0	0	0
"27"	1651585244.68922	0	0	0	0	0	0	0	0	0	0
"28"	1651587644.03133	0	0	0	0	0	0	0	0	0	0
"29"	1651590044.03634	0	0	0	0	0	0	0	0	0	0
"30"	1651592443.10777	0	0	0	0	0	0	0	0	0	0
"31"	1651594842.21053	0	0	0	0	0	0	0	0	0	0
"32"	1651597241.86591	0	0	0	0	0	0	0	0	0	0
"33"	1651599640.85589	0	0	0	0	0	0	0	0	0	0
"34"	1651602039.86842	0	0	0	0	0	0	0	0	0	0
"35"	1651604438.47619	0	0	0	0	0	0	0	0	0	0
"36"	1651606839.13784	0	0	0	0	0	0	0	0	0	0
