""	"Time"	"Flow_S5"	"Flow_S6"	"Mean_CH4_S5"	"Mean_CO2_S5"	"Mean_N2O_S5"	"Mean_NH3_S5"	"Mean_CH4_S6"	"Mean_CO2_S6"	"Mean_N2O_S6"	"Mean_NH3_S6"
"1"	1651496344.85769	0	0	NA	NA	NA	NA	0	0	0	0
"2"	1651498743.40385	0	0	0	0	0	0	0	0	0	0
"3"	1651501141.53333	0	0	0	0	0	0	0	0	0	0
"4"	1651503541.79487	0	0	0	0	0	0	0	0	0	0
"5"	1651505940.58205	0	0	0	0	0	0	0	0	0	0
"6"	1651508341.32436	0	0	0	0	0	0	0	0	0	0
"7"	1651510740.33333	0	0	0	0	0	0	0	0	0	0
"8"	1651513139.74359	0	0	0	0	0	0	0	0	0	0
"9"	1651515538.44615	0	0	0	0	0	0	0	0	0	0
"10"	1651517936.93974	0	0	0	0	0	0	0	0	0	0
"11"	1651520336.88333	0	0	0	0	0	0	0	0	0	0
"12"	1651522737.04487	0	0	0	0	0	0	0	0	0	0
"13"	1651525135.86795	0	0	0	0	0	0	0	0	0	0
"14"	1651527535.21538	0	0	0	0	0	0	0	0	0	0
"15"	1651529933.55	0	0	0	0	0	0	0	0	0	0
"16"	1651532334.31538	0	0	0	0	0	0	0	0	0	0
"17"	1651534732.64487	0	0	0	0	0	0	0	0	0	0
"18"	1651537132.05256	0	0	0	0	0	0	0	0	0	0
"19"	1651552788.55128	0	0	0	0	0	0	0	0	0	0
"20"	1651568446.66282	0	0	0	0	0	0	0	0	0	0
"21"	1651570844.58974	0	0	0	0	0	0	0	0	0	0
"22"	1651573243.47179	0	0	0	0	0	0	0	0	0	0
"23"	1651575644.24872	0	0	0	0	0	0	0	0	0	0
"24"	1651578043.90769	0	0	0	0	0	0	0	0	0	0
"25"	1651580443.17179	0	0	0	0	0	0	0	0	0	0
"26"	1651582842.33974	0	0	0	0	0	0	0	0	0	0
"27"	1651585241.27308	0	0	0	0	0	0	0	0	0	0
"28"	1651587640.60897	0	0	0	0	0	0	0	0	0	0
"29"	1651590040.62179	0	0	0	0	0	0	0	0	0	0
"30"	1651592439.69231	0	0	0	0	0	0	0	0	0	0
"31"	1651594838.79615	0	0	0	0	0	0	0	0	0	0
"32"	1651597238.45897	0	0	0	0	0	0	0	0	0	0
"33"	1651599637.44872	0	0	0	0	0	0	0	0	0	0
"34"	1651602036.43846	0	0	0	0	0	0	0	0	0	0
"35"	1651604435.06795	0	0	0	0	0	0	0	0	0	0
"36"	1651606835.73077	0	0	0	0	0	0	0	0	0	0
